open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,SMA_10,SMA_30,RSI_14,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,BB_SMA,BB_STD,BB_UPPER,BB_LOWER,hour,day_of_week,day_of_month,month,target
2020-08-11 06:29:00,3.136,3.136,3.136,3.136,0.0,2020-08-11 06:29:59.999,0.0,0,0.0,0.0,3.14995,3.14194,51.96574054072769,3.1503594511328687,3.124449444257271,0.0259100068755979,0.041862424997569,-0.015952418121971,3.164725,0.0480016762316973,3.2607283524633943,3.0687216475366053,6,1,11,8,-1
2020-08-11 06:30:00,3.136,3.136,3.136,3.136,13.0,2020-08-11 06:30:59.999,40.768,1,13.0,40.768,3.14555,3.1514733333333336,51.96574054072769,3.1481503048047355,3.1253050409789545,0.022845263825781,0.0380589927632114,-0.0152137289374304,3.1622950000000003,0.048172425777235,3.2586398515544706,3.06595014844553,6,1,11,8,-1
2020-08-11 06:31:00,3.136,3.136,3.136,3.136,0.0,2020-08-11 06:31:59.999,0.0,0,0.0,0.0,3.14361,3.1610066666666667,51.9657405407277,3.146281027142469,3.1260972601656984,0.0201837669767703,0.0344839476059232,-0.0143001806291528,3.159865,0.0482138249991917,3.2562926499983837,3.0634373500016165,6,1,11,8,-1
2020-08-11 06:32:00,3.0706,3.0706,3.055,3.055,3006.3,2020-08-11 06:32:59.999,9205.282675,29,0.0,0.0,3.1335,3.16784,41.33982154310371,3.132237792197474,3.120830796449721,0.0114069957477527,0.0298685572342891,-0.0184615614865364,3.15434,0.0535681012701052,3.2614762025402104,3.0472037974597894,6,1,11,8,-1
2020-08-11 06:33:00,3.0161,3.0161,3.0161,3.0161,37.94,2020-08-11 06:33:59.999,114.430834,1,0.0,0.0,3.12011,3.1683666666666666,37.38607752096801,3.1143704395517084,3.113072959675668,0.0012974798760407,0.0241543417626394,-0.0228568618865986,3.1468700000000003,0.0617256331638138,3.270321266327628,3.023418733672373,6,1,11,8,-1
2020-08-11 06:34:00,3.0052,3.0059,3.0003,3.0003,1362.54,2020-08-11 06:34:59.999,4095.008035,4,0.0,0.0,3.10514,3.1622033333333333,35.8848608244754,3.096821141159138,3.1047194071071,-0.0078982659479613,0.0177438202205192,-0.0256420861684806,3.1386100000000003,0.0696465354108648,3.27790307082173,2.99931692917827,6,1,11,8,1
2020-08-11 06:35:00,3.0002,3.0161,3.0,3.0161,1061.33,2020-08-11 06:35:59.999,3200.596572,9,0.0,0.0,3.09175,3.147073333333333,38.54248263760447,3.0844025040577323,3.098155006580648,-0.013752502522915,0.0114445556718324,-0.0251970581947474,3.13114,0.0744565461404025,3.280053092280805,2.9822269077191947,6,1,11,8,-1
2020-08-11 06:36:00,2.998,2.998,2.992,2.998,1070.35,2020-08-11 06:36:59.999,3207.70474,38,0.0,0.0,3.07655,3.14034,36.66740630321733,3.071109811125773,3.0907361172043037,-0.0196263060785297,0.0052303833217599,-0.0248566894002897,3.12425,0.0801599946160308,3.284569989232061,2.9639300107679385,6,1,11,8,-1
2020-08-11 06:37:00,2.98,2.9952,2.971,2.9952,1456.82,2020-08-11 06:37:59.999,4333.552994,51,563.67,1677.635814,3.06247,3.13388,36.37261280118687,3.059431378644885,3.0836593677817623,-0.024227989136877,-0.0006612911699674,-0.0235666979669096,3.11722,0.0851064200683008,3.287432840136601,2.9470071598633987,6,1,11,8,1
... (continúa)

# Orden de columnas de sample_binance_raw_data.csv (actualizado 17/06/2025)

open_time, open, high, low, close, volume, close_time, quote_asset_volume, number_of_trades, taker_buy_base_asset_volume, taker_buy_quote_asset_volume, SMA_10, SMA_30, RSI_14, EMA_12, EMA_26, MACD, MACD_Signal, MACD_Hist, BB_SMA, BB_STD, BB_UPPER, BB_LOWER, hour, day_of_week, day_of_month, month, target

# Este orden debe respetarse para concatenación y procesamiento cruzado con otros scripts o IA (ej. Gemini).
